block,x_position_m,y_position_m,range_m,radial_velocity_mps,angle_deg
60,-0.07411888087469203,1.6976014702660474,1.69921875,0.6490800026586317,-2.5
81,-0.15560223455661762,2.54407404675886,2.548828125,-0.43272000177242115,-3.5
99,0.1383130973836601,2.2613991526745423,2.265625,0.07212000029540351,3.5
312,0.3319495193193517,1.882579273946677,1.91162109375,-0.10818000044310529,10.0
330,0.2442943496853365,2.5370938259163447,2.548828125,-0.43272000177242115,5.5
413,0.0,0.56640625,0.56640625,-0.14424000059080705,0.0
583,-0.455581881401274,3.7104166684404105,3.73828125,-0.7572600031017369,-7.0
584,0.0,3.6411830357142856,3.6411830357142856,-0.18545142933103764,0.0
585,0.5123853424018034,3.645811151519258,3.681640625,-0.2524200010339123,8.0
586,0.7565278527624726,3.891998403122574,3.96484375,0.745240003052503,11.0
613,-0.08893023814718971,1.6968900297587486,1.69921875,0.10818000044310529,-3.0
614,-0.013180704659002299,1.5103591546281754,1.5104166666666667,-0.0480800001969357,-0.5
616,-0.04312863939087478,1.2350426413446212,1.2357954545454546,-0.03933818197931102,-2.0
618,-0.026360405556313637,1.510186622892466,1.5104166666666667,0.04808000019693568,-1.0
626,0.008237940411876435,0.9439744716426096,0.9440104166666666,0.12020000049233921,0.5
634,0.029655456250852842,1.6989599507540243,1.69921875,0.21636000088621057,1.0
664,-0.9726786678374647,5.0039979468718805,5.09765625,1.0818000044310527,-11.0
665,-0.32172837918258684,4.60093017600304,4.612165178571429,1.0818000044310527,-4.0
674,-0.047441503329962255,1.3585469054790833,1.359375,-0.04327200017724212,-2.0
694,0.0,1.69921875,1.69921875,-0.4327200017724212,0.0
698,-0.014828292741377584,1.6991540489566974,1.69921875,-13.847040056717477,-0.5
698,-0.011862634193102068,1.3593232391653578,1.359375,0.389448001595179,-0.5
699,0.0,0.9709821428571429,0.9709821428571429,0.030908571555172928,0.0
700,0.0,1.1328125,1.1328125,0.6490800026586316,0.0
701,-0.019770304167235228,1.1326399671693494,1.1328125,2.0914800085667022,-1.0
701,-0.019770304167235228,1.1326399671693494,1.1328125,1.0096800041356493,-1.0
838,0.9867413505244484,1.383360353457027,1.69921875,0.5769600023632282,35.5
851,2.444631352713385,2.3607530558567484,3.3984375,2.812680011520738,46.0
852,2.403058201688658,2.403058201688658,3.3984375,2.812680011520738,45.0
853,2.465139463987071,2.3393300033342417,3.3984375,2.8126800115207375,46.5
855,-2.8971610022186214,3.1068248066829995,4.248046875,2.920860011963843,-43.0
856,3.3347948590516343,3.39351190261638,4.7578125,2.942496012052464,44.5
857,-0.13339535722078458,2.5453350446381227,2.548828125,0.1081800004431053,-3.0
857,3.6045873025329866,3.6045873025329866,5.09765625,3.0290400124069485,45.0
858,3.6669470290700774,3.5411295837851227,5.09765625,3.0290400124069485,46.0
859,3.572994491841037,3.6359056099461213,5.09765625,3.0290400124069485,44.5
860,3.6045873025329866,3.6045873025329866,5.09765625,3.0290400124069485,45.0
861,3.572994491841037,3.6359056099461213,5.09765625,3.137220012850054,44.5
862,3.5411295837851227,3.6669470290700774,5.09765625,3.1372200128500536,44.0
863,3.6045873025329866,3.6045873025329866,5.09765625,3.1835828701828133,45.0
864,-0.04942576041808807,2.8315999179233735,2.83203125,0.07212000029540352,-1.0
864,3.754778440138528,3.754778440138528,5.31005859375,3.2183550131823826,45.0
865,4.205351852955151,4.205351852955151,5.947265625,3.1732800129977554,45.0
866,4.685543426033988,4.524776690392101,6.513671875,3.2093400131454572,46.0
867,4.72237370615816,4.403684723372304,6.45703125,3.1588560129386747,47.0
869,4.630140611861108,4.168997332587417,6.23046875,3.1732800129977554,48.0
870,4.970919690692799,4.635457603549795,6.796875,3.1372200128500536,47.0
871,5.051062485666664,4.547997090095365,6.796875,3.0290400124069485,48.0
873,5.637579635960226,5.165889966436152,7.646484375,3.0290400124069485,47.5
885,6.007645504221644,6.007645504221644,8.49609375,2.3799600097483165,45.0
886,6.6658269515678885,6.550489901708567,9.345703125,2.3799600097483165,45.5
887,6.6658269515678885,6.550489901708567,9.345703125,2.3799600097483165,45.5
902,8.699109458712398,8.11205080621214,11.89453125,1.7308800070896846,47.0
906,8.336987147629086,8.48377975654095,11.89453125,1.7308800070896846,44.5
907,7.869176852855828,8.148771175711284,11.328125,1.5866400064988777,44.0
914,8.187655011669847,8.62798812395475,11.89453125,1.5145200062034743,43.5
915,8.336987147629086,8.48377975654095,11.89453125,1.2981600053172635,44.5
916,8.336987147629086,8.48377975654095,11.89453125,1.2440700050957108,44.5
921,9.011468256332467,9.011468256332467,12.744140625,0.43272000177242115,45.0
1056,8.772487512503407,9.244272989951519,12.744140625,-0.43272000177242115,43.5
1057,8.772487512503407,9.244272989951519,12.744140625,-0.43272000177242115,43.5
1058,8.691483006655865,9.320474420048999,12.744140625,-0.43272000177242115,43.0
1059,8.60981661072692,9.395966059933711,12.744140625,-0.43272000177242115,42.5
1060,7.958994907666888,8.839359349916663,11.89453125,-0.43272000177242115,42.0
1064,8.11205080621214,8.699109458712398,11.89453125,-0.6490800026586317,43.0
1066,8.772487512503407,9.244272989951519,12.744140625,-0.6490800026586317,43.5
1067,7.803514622172245,8.976916686634144,11.89453125,-0.6490800026586317,41.0
1068,8.026472182805737,9.233400020537976,12.234375,-0.7356240030131159,41.0
1072,7.6456573105293435,9.11173956756753,11.89453125,-0.757260003101737,40.0
1073,7.485471057604511,9.243786924361237,11.89453125,-0.8654400035448423,39.0
1074,7.323004657682146,9.373018534111203,11.89453125,-0.8654400035448423,38.0
1078,7.075138225225914,9.561500549138385,11.89453125,-0.8654400035448423,36.5
1080,6.799932896419136,8.703517210246117,11.044921875,-0.6490800026586317,38.0
1081,6.737136685297328,9.80259470450796,11.89453125,-0.6490800026586317,34.5
1082,6.737136685297328,9.80259470450796,11.89453125,-0.6490800026586317,34.5
1085,6.49204219084753,8.935529498418608,11.044921875,-0.6490800026586317,36.0
1095,5.354684379869211,9.660106335690006,11.044921875,-0.6490800026586317,29.0
1096,5.400004186355155,10.598104945912423,11.89453125,-0.5949900024370791,27.0
1097,5.185276733504321,9.752087182846157,11.044921875,-0.6490800026586317,28.0
1099,4.841775068539517,9.927110023089433,11.044921875,-0.6490800026586317,26.0
1100,4.535501672234266,9.508876999576461,10.53515625,-0.5192640021269054,25.5
1101,4.493699813503996,9.421237580225528,10.438058035714286,-0.5254457164379399,25.5
1102,4.974421188902098,10.42909090276128,11.5546875,-0.5192640021269054,25.5
1103,4.149610373360208,9.775869415327431,10.6201171875,-0.5679450023263027,23.0
1104,4.492374446471973,10.090038208923648,11.044921875,-0.4327200017724212,24.0
1105,4.285034087404036,9.624344137742558,10.53515625,-0.5192640021269054,24.0
1106,3.9015771815347042,9.419240546306478,10.1953125,-0.43272000177242115,22.5
1107,3.7365945380875623,9.485897861066736,10.1953125,-0.43272000177242115,21.5
1108,3.570473691746914,9.549665679446553,10.1953125,-0.36060000147701765,20.5
1109,3.4575719528531046,10.041518075822824,10.6201171875,-0.29749500121853956,19.0
1110,3.516707419349532,9.930875396389084,10.53515625,-0.2596320010634527,19.5
1111,3.255542319645442,10.019529001750113,10.53515625,-0.2596320010634527,18.0
1112,3.300549817152061,10.15804783587569,10.680803571428571,-0.2472685724413835,18.0
1113,3.4114709934817298,9.907631168145185,10.478515625,-0.4687800019201229,19.0
1114,3.150524825463331,9.696318388790433,10.1953125,-0.5409000022155265,18.0
1115,2.8956251940517115,9.775466828148375,10.1953125,-0.5872628595482858,16.5
1116,2.9038826118689327,10.127042163850179,10.53515625,-0.5409000022155265,16.0
1117,2.992146033853435,10.101315722419987,10.53515625,-0.5409000022155265,16.5
1119,2.5038400735981234,10.04235402781034,10.349786931818182,-0.5113963657310433,14.0
1120,2.3800484361871606,9.913615204054437,10.1953125,3.6781200150655797,13.5
1120,2.4241234072276634,10.097200670796186,10.384114583333334,-0.5048400020678248,13.5
1121,2.2526417827591128,10.161010445195986,10.40771484375,-0.45976500188319747,12.5
1123,2.0326183938628306,9.990638590079552,10.1953125,-1.1899800048741582,11.5
