block,range_m,radial_velocity_mps,angle_deg,doa_cluster_id,n_angle_bins
1110,10.53515625,-0.2596320010634527,19.5,-1.0,2.0
1111,10.53515625,-0.2596320010634527,18.0,0.0,3.0
1112,10.680803571428571,-0.2472685724413835,18.0,0.0,3.0
1113,10.478515625,-0.4687800019201229,19.0,0.0,3.0
1114,10.1953125,-0.5409000022155265,18.0,0.0,3.0
1115,10.1953125,-0.5872628595482858,16.5,-1.0,2.0
1116,10.53515625,-0.5409000022155265,16.0,0.0,3.0
1117,10.53515625,-0.5409000022155265,16.5,-1.0,2.0
1119,10.349786931818182,-0.5113963657310433,14.0,-1.0,1.0
1120,10.1953125,3.6781200150655797,13.5,-1.0,2.0
1120,10.384114583333334,-0.5048400020678248,13.5,-1.0,2.0
1121,10.40771484375,-0.45976500188319747,12.5,-1.0,2.0
1123,10.1953125,-1.1899800048741582,11.5,-1.0,2.0
1132,10.1953125,-0.27817714399655646,9.0,-1.0,1.0
1135,10.1953125,-4.543560018610423,7.0,-1.0,1.0
1135,10.1953125,-0.12981600053172634,7.0,-1.0,1.0
1136,10.1953125,-0.12981600053172634,6.5,-1.0,2.0
1137,10.1953125,-0.05409000022155265,6.5,-1.0,2.0
1138,10.1953125,-0.05409000022155265,5.5,-1.0,2.0
1139,9.345703125,-5.949900024370791,4.0,0.0,3.0
1139,10.1953125,-9.25185853854297e-18,5.5,-1.0,2.0
1140,9.85546875,-0.04327200017724213,5.0,-1.0,1.0
1141,9.345703125,-0.8654400035448424,2.5,0.0,4.0
1142,9.85546875,0.04327200017724211,3.0,0.0,3.0
1143,9.709821428571429,-0.0618171431103459,3.5,-1.0,2.0
1144,10.1953125,-0.3245400013293156,2.0,0.0,3.0
1144,9.912109375,0.03606000014770174,2.0,0.0,3.0
1145,9.345703125,-1.5145200062034743,1.5,0.0,4.0
1145,9.62890625,0.6490800026586316,5.0,-1.0,1.0
1146,9.345703125,-2.9208600119638426,-1.5,0.0,4.0
1147,10.1953125,-1.4604300059819215,0.0,0.0,3.0
1149,9.85546875,-0.1298160005317265,0.5,0.0,4.0
1150,10.1953125,-1.1899800048741582,0.0,0.0,3.0
1153,10.1953125,-2.163600008862106,-0.5,0.0,4.0
1153,10.1953125,1.4604300059819215,-0.5,0.0,4.0
1154,9.345703125,-1.5145200062034743,-5.0,-1.0,1.0
1154,10.1953125,1.5145200062034743,-4.0,0.0,3.0
1155,9.345703125,-1.2981600053172635,-4.5,0.0,4.0
1156,9.345703125,0.6490800026586317,-5.0,0.0,3.0
1156,10.1953125,-0.43272000177242115,-5.5,0.0,4.0
1157,10.1953125,-0.43272000177242115,-7.0,0.0,3.0
1158,9.98291015625,0.08113500033232895,-8.5,0.0,4.0
1159,10.1953125,-0.10818000044310531,-10.5,0.0,4.0
1160,9.912109375,-0.07212000029540355,-11.0,0.0,3.0
1161,9.345703125,-4.976280020382843,-12.0,0.0,3.0
1161,10.1953125,-1.1102230246251566e-17,-12.0,0.0,3.0
1162,10.1953125,-7.93016446160826e-18,-12.0,0.0,3.0
1163,10.1953125,0.12981600053172634,-13.0,0.0,3.0
1164,10.1953125,0.26444000108314625,-13.0,0.0,3.0
1165,10.1953125,-3.6781200150655797,-13.5,-1.0,2.0
1165,10.1953125,0.3709028586620753,-13.5,-1.0,2.0
1166,9.912109375,0.2524200010339123,-15.0,0.0,3.0
1167,10.1953125,0.4759920019496633,-17.0,0.0,3.0
1168,10.1953125,0.5409000022155265,-18.0,0.0,3.0
1169,9.345703125,-3.461760014179369,-20.0,0.0,3.0
1169,10.349786931818182,0.5704036387000097,-19.0,0.0,3.0
1170,10.1953125,0.6058080024813897,-20.0,0.0,3.0
1171,10.1953125,-3.461760014179369,-21.0,0.0,3.0
1171,10.1953125,0.5192640021269054,-21.0,0.0,3.0
1172,10.1953125,0.5769600023632282,-21.5,0.0,4.0
1173,10.384114583333334,0.6250400025601639,-22.5,0.0,4.0
1174,10.1953125,0.7108971457689776,-23.0,0.0,3.0
1175,10.1953125,0.757260003101737,-23.0,0.0,3.0
1176,10.1953125,0.757260003101737,-23.5,0.0,4.0
1177,10.1953125,0.8654400035448423,-24.5,0.0,4.0
1178,10.40771484375,0.8383950034340659,-24.0,0.0,3.0
1179,10.76171875,0.7933200032494389,-25.0,0.0,3.0
1180,10.1953125,0.8113500033232897,-24.5,-1.0,2.0
1182,10.1953125,0.9195300037663949,-26.0,-1.0,1.0
1183,11.044921875,0.9736200039879476,-30.0,-1.0,1.0
1193,11.044921875,1.0818000044310527,-34.0,-1.0,1.0
1194,11.328125,1.1539200047264562,-34.5,0.0,4.0
1196,11.89453125,1.2981600053172635,-35.0,-1.0,1.0
1197,11.89453125,1.2981600053172635,-36.0,0.0,3.0
1198,11.89453125,1.2981600053172635,-37.0,0.0,3.0
1199,11.89453125,1.2981600053172635,-37.0,0.0,3.0
1200,11.89453125,1.2981600053172635,-37.0,0.0,3.0
1201,11.89453125,1.406340005760369,-37.5,-1.0,2.0
1202,11.89453125,1.406340005760369,-39.0,0.0,3.0
