time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),wind_speed(mph),wind_direction(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
0,2026-05-22 09:01:50,0,0,0,Available with any HD 360 subscription,Available with any HD 360 subscription,-3.774370527604,0.328084,0,0,0,6,0,0,0,0,0,0,0,0,0,166, -1.5, 3.3,Available with Enterprise subscription,,0,0,364,364,364,1684,-100,-100,-100,100,166.9,0,4,78,3.96,3.966,0,0,0,0,0,78.62,-3.774370527604,0,38,Tripod,"Setting new Return-To-Home altitude to 30m (98 ft). Data Recorder File Index is 36. Setting new Maximum Flight Altitude to 30m (98 ft)"
100,2026-05-22 09:01:51,0,0,0,,,-3.774370527604,0.328084,0,0,0,6,0,0,0,0,0,0,0,0,0,166, -1.5, 3.3,,,0,0,364,364,364,1684,-100,-100,-100,100,166.9,0,4,78,3.96,3.966,0,0,0,0,0,78.62,-3.774370527604,0,41,Motors_Started,
200,2026-05-22 09:01:51,0,0,0,,,-3.774370527604,0.328084,0,0,0,6,0,0,0,0,0,0,0,0,0,166, -1.5, 3.3,,,0,0,364,364,364,1684,-100,-100,-100,100,166.9,0,4,78,3.96,3.966,0,0,0,0,0,78.62,-3.774370527604,0,41,Motors_Started,
300,2026-05-22 09:01:51,0,0,0,,,-3.774370527604,0.328084,0,0,0,6,0,0,0,0,0,0,0,0,0,166, -1.5, 3.3,,,0,0,364,364,364,1684,-100,-100,-100,100,166.9,0,4,78,3.96,3.966,0,0,0,0,0,78.62,-3.774370527604,0,41,Motors_Started,
400,2026-05-22 09:01:51,0,0,0,,,-3.774370527604,0.328084,0,0,0,6,0,0,0,0,0,0,0,0,0,166, -1.5, 3.3,,,0,0,364,364,364,1684,-100,-100,-100,100,166.9,0,4,78,3.96,3.966,0,0,0,0,0,78.62,-3.774370527604,0,41,Motors_Started,
500,2026-05-22 09:01:51,0,0,0,,,-3.774370527604,0.328084,0,0,0,6,0,0,0,0,0,0,0,0,0,166, -1.5, 3.3,,,0,0,364,364,364,1684,-100,-100,-100,100,166.9,0,4,78,3.96,3.966,0,0,0,0,0,78.62,-3.774370527604,0,41,Motors_Started,
600,2026-05-22 09:01:51,0,0,0,,,-3.774370527604,0.328084,0,0,0,6,0,0,0,0,0,0,0,0,0,166, -1.5, 3.3,,,0,0,1024,1024,1024,1024,0,0,0,0,166.9,0,4,78,3.96,3.966,0,0,0,0,0,78.62,-3.774370527604,0,41,Motors_Started,
700,2026-05-22 09:01:51,0,0,0,,,-3.774370527604,0.328084,0,0,0,6,0,0,0,0,0,0,0,0,0,166, -1.5, 3.3,,,0,0,1024,1024,1024,1024,0,0,0,0,166.9,0,4,78,3.96,3.966,0,0,0,0,0,78.62,-3.774370527604,0,41,Motors_Started,
800,2026-05-22 09:01:51,0,0,0,,,-3.774370527604,0.328084,0,0,0,17,0,0,0,0,0,0,0,0,0,166, -1.5, 3.3,,,0,0,1024,1024,1024,1024,0,0,0,0,166.9,0,4,78,3.96,3.966,0,0,0,0,0,78.62,-3.774370527604,0,41,Motors_Started,
900,2026-05-22 09:01:51,0,0,0,,,-3.774370527604,0.328084,0,0,0,17,0,0,0,0,0,0,0,0,0,166.1, -1.5, 3.3,,,0,0,1024,1024,1024,1024,0,0,0,0,166.9,0,4,78,3.96,3.966,0,0,0,0,0,78.62,-3.774370527604,0,41,Motors_Started,
1000,2026-05-22 09:01:51,0,0,0,,,-3.774370527604,0.328084,0,0,0,18,0,0,0,0,0,0,0,0,0,166.1, -1.5, 3.3,,,0,0,1024,1024,1024,1024,0,0,0,0,166.9,0,4,78,3.96,3.966,0,0,0,0,0,78.62,-3.774370527604,0,41,Motors_Started,
1100,2026-05-22 09:01:52,0,0,0,,,-3.774370527604,0.328084,0,0,0,18,0,8.049,0,0,0,0,0,0,0,166.1, -1.5, 3.3,,,0,0,1024,1024,1024,1024,0,0,0,0,166.9,0,4,78,3.96,3.966,0,0,0,0,0.502,78.62,-3.774370527604,0,41,Motors_Started,
1200,2026-05-22 09:01:52,0,0,0,,,-3.774370527604,0.328084,0,0,0,18,0,8.049,0,0,0,0,0,0,0,166.1, -1.5, 3.3,,,0,0,1024,1024,1024,1024,0,0,0,0,166.9,0,4,78,3.96,3.966,0,0,0,0,0.502,78.62,-3.774370527604,0,41,Motors_Started,
1300,2026-05-22 09:01:52,0,0,0,,,-3.774370527604,0.328084,0,0,0,18,0,8.049,0,0,0,0,0,0,0,166.1, -1.5, 3.3,,,0,0,1024,1024,1024,1024,0,0,0,0,166.9,0,4,78,3.96,3.966,0,0,0,0,0.502,78.62,-3.774370527604,0,41,Motors_Started,
