time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),wind_speed(mph),wind_direction(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
0,2026-05-22 08:43:09,51.9888007126932,4.39002156380463,0,Available with any HD 360 subscription,Available with any HD 360 subscription,-3.784140212956,0.328084,0,0,0,24,5,0,0,0,0,0,0,0,0,156.6, 4.7, 0.8,Available with Enterprise subscription,,0,0,364,364,364,1684,-100,-100,-100,100,154.9,0,0,70,3.872,3.869,3.868,0,0,0,0,96.26,-3.784140212956,0,6,P-GPS,"Flying over vegetation. Vision sensor(s) blocked. Fly with caution (Code: 180038). Check whether the propellers are attached to the correct motors based on their markings. Incorrect installation will cause the aircraft to roll over during takeoff (Code: 30251)"
100,2026-05-22 08:43:10,51.9888007120477,4.39002156061802,0,,,-3.784140212956,0.328084,0,0.00075370081152,0.00075370081152,24,5,0,0,0,0,0.00075370081152,0,0,0,156.6, 4.7, 0.8,,,0,0,364,364,364,1684,-100,-100,-100,100,154.9,0,0,70,3.872,3.869,3.868,0,0,0,0,96.26,-3.784140212956,0,41,Motors_Started,
200,2026-05-22 08:43:10,51.9888005628537,4.39002156077988,0,,,-3.784140212956,0.328084,0,0.054672902012,0.05518700964,24,5,0,0,0,0,0.054672902012,0,0,0,156.6, 4.7, 0.8,,,0,0,364,364,364,1684,-100,-100,-100,100,154.9,0,0,70,3.872,3.869,3.868,0,0,0,0,96.26,-3.784140212956,0,41,Motors_Started,
300,2026-05-22 08:43:10,51.9888005486216,4.39002155638534,0,,,-3.784140212956,0.328084,0,0.059884516352,0.060472770964,24,5,0,0,0,0,0.059884516352,0,0,0,156.6, 4.7, 0.8,,,0,0,364,364,364,1684,-100,-100,-100,100,154.9,0,0,70,3.872,3.869,3.868,0,0,0,0,96.26,-3.784140212956,0,41,Motors_Started,
400,2026-05-22 08:43:10,51.9888005729813,4.39002155826945,0,,,-3.784140212956,0.328084,0,0.050988846776,0.069370409044,24,5,0,0,0,0,0.059884516352,0,0,0,156.6, 4.7, 0.8,,,0,0,364,364,364,1684,-100,-100,-100,100,154.9,0,0,70,3.872,3.869,3.868,0,0,0,0,96.26,-3.784140212956,0,41,Motors_Started,
500,2026-05-22 08:43:10,51.9888005618618,4.39002155267362,0,,,-3.784140212956,0.328084,0,0.055087600188,0.073617784508,24,5,0,0,0,0,0.059884516352,0,0,0,156.6, 4.7, 0.8,,,0,0,364,364,364,1684,-100,-100,-100,100,154.9,0,0,70,3.872,3.869,3.868,0,0,0,0,96.26,-3.784140212956,0,41,Motors_Started,"Setting new Return-To-Home altitude to 97m (318 ft). Data Recorder File Index is 23. Setting new Maximum Flight Altitude to 285m (935 ft)"
600,2026-05-22 08:43:10,51.9888005837389,4.39002155594751,0,,,-3.784140212956,0.328084,0,0.047082022504,0.081633204712,24,5,0,0,0,0,0.059884516352,0,0,0,156.6, 4.7, 0.8,,,0,0,364,364,364,1684,-100,-100,-100,100,154.9,0,0,70,3.872,3.869,3.868,0,0,0,0,96.26,-3.784140212956,0,41,Motors_Started,
700,2026-05-22 08:43:10,51.9888005754289,4.39002155016037,0,,,-3.784140212956,0.328084,0,0.050174542288,0.084932417416,24,5,0,0,0,0,0.059884516352,0,0,0,156.6, 4.7, 0.8,,,0,0,504,537,364,1684,-79,-74,-100,100,154.9,0,0,70,3.872,3.869,3.868,0,0,0,0,96.26,-3.784140212956,0,41,Motors_Started,
800,2026-05-22 08:43:10,51.9888005929286,4.390021555215,0,,,-3.784140212956,0.328084,0,0.04373851846,0.09141732576,24,5,0,0,0,0,0.059884516352,0,0,0,156.6, 4.7, 0.8,,,0,0,1024,1024,1024,1024,0,0,0,0,154.9,0,0,70,3.872,3.869,3.868,0,0,0,0,96.26,-3.784140212956,0,41,Motors_Started,
900,2026-05-22 08:43:10,51.9888005871936,4.3900215495294,0,,,-3.784140212956,0.328084,0,0.04590059202,0.093868769408,24,5,0,0,0,0,0.059884516352,0,0,0,156.6, 4.7, 0.8,,,0,0,1024,1024,1024,1024,0,0,0,0,154.9,0,0,70,3.872,3.869,3.868,0,0,0,0,96.26,-3.784140212956,0,41,Motors_Started,
