block,range_m,radial_velocity_mps,angle_deg
0,131.97265625,-10.97131474692526,7.5
1,131.47705078125,-10.826955342360456,7.5
2,131.9443359375,-9.311181594429991,8.0
3,132.5390625,-7.578868739652319,7.5
4,132.5390625,-8.228486060193946,7.5
5,132.3974609375,-8.228486060193946,8.333333333333334
6,132.6806640625,-8.517204869323558,9.166666666666666
7,132.5390625,-8.445025167041154,10.0
8,132.19921875,-12.12618998344371,9.0
8,132.19921875,-10.177338021818828,9.0
9,132.7373046875,-11.779727412488175,9.166666666666666
10,132.7939453125,-9.5277207012772,8.0
11,132.255859375,-7.708792203760645,6.666666666666667
12,132.9638671875,-10.610416235513245,7.5
13,132.6806640625,-10.177338021818828,6.666666666666667
14,133.671875,-9.383361296712394,7.5
15,133.388671875,-6.279634098569065,7.5
16,133.388671875,-8.228486060193946,7.5
17,133.8134765625,-7.795407846499527,7.5
18,133.388671875,-6.929251419110691,7.5
20,133.2470703125,-11.043494449207664,8.333333333333334
21,133.388671875,-11.476572662902083,7.5
22,133.5302734375,-8.011946953346737,8.333333333333334
23,133.388671875,-8.445025167041154,10.0
24,133.2470703125,-9.383361296712394,10.0
25,133.5302734375,-8.661564273888363,11.666666666666666
26,133.2470703125,-8.950283083017975,7.5
27,133.1337890625,-9.311181594429991,7.0
28,133.388671875,-9.74425980812441,10.0
29,132.5390625,-10.610416235513245,10.0
30,132.5390625,-10.105158319536425,10.0
33,180.1171875,-11.15176400263127,5.0
34,180.1171875,-10.177338021818828,2.5
35,133.3037109375,-4.114243030096972,9.0
36,132.87890625,-4.5040134224219495,7.5
37,133.2470703125,-8.228486060193946,8.333333333333334
38,133.2470703125,-4.330782136944182,8.333333333333334
39,133.2470703125,-5.774376182592243,7.5
40,133.388671875,-6.063094991721855,7.5
41,133.388671875,-6.063094991721855,10.0
48,133.388671875,-9.311181594429991,12.5
49,133.33203125,-8.08412665562914,11.0
51,133.048828125,-11.086802270577106,9.0
52,133.4736328125,-9.311181594429991,11.0
53,133.388671875,-9.74425980812441,10.0
54,132.5390625,-11.909650876596501,10.0
54,132.5390625,-8.661564273888363,10.0
55,132.5390625,-9.5277207012772,10.0
56,132.5390625,-7.903677399923133,10.0
57,133.2470703125,-11.40439296061968,10.0
58,133.2470703125,-9.816439510406813,10.0
59,133.3037109375,-9.5277207012772,9.0
60,132.5390625,-12.559268197138127,12.5
61,132.5390625,-12.992346410832548,12.5
61,132.5390625,-10.177338021818828,12.5
62,132.5390625,-10.93522489578406,12.5
63,133.3037109375,-12.212805626182593,12.5
64,133.3037109375,-10.047414557710502,12.5
65,133.3037109375,-11.779727412488175,12.5
66,133.388671875,-9.960798914971619,12.5
67,132.9638671875,-13.208885517679757,12.5
67,133.388671875,13.425424624526965,12.5
68,133.2470703125,-10.682595937795648,12.5
69,133.2470703125,-12.342729090290918,11.666666666666666
70,133.388671875,-9.74425980812441,12.5
71,132.9638671875,-10.177338021818828,10.833333333333334
72,132.822265625,-8.517204869323557,7.5
73,133.5302734375,-11.043494449207664,8.333333333333334
