block,range_m,radial_velocity_mps,angle_deg
1,132.9638671875,-6.496173205416274,8.571428571428571
2,133.10546875,-4.7638603506386,9.166666666666666
3,132.9638671875,-6.279634098569065,8.571428571428571
4,132.9638671875,-5.846555884874646,8.571428571428571
5,132.857666015625,-7.795407846499528,9.375
6,132.9638671875,-8.878103380735574,10.0
7,133.12165178571428,-7.708792203760645,10.0
8,133.3037109375,-8.748179916627247,10.0
9,132.19921875,-10.393877128666038,9.0
10,133.20661272321428,-10.393877128666036,9.285714285714286
11,133.070068359375,-11.909650876596501,9.375
12,132.928466796875,-9.74425980812441,9.375
13,133.070068359375,-10.826955342360455,9.375
13,161.42578125,-0.4330782136944182,-17.5
14,133.388671875,-11.260033556054873,10.0
15,133.070068359375,-10.826955342360455,9.375
16,133.08523995535714,-10.826955342360455,8.571428571428571
16,132.66043526785714,-9.094642487582783,8.571428571428571
17,133.20661272321428,-10.610416235513245,9.285714285714286
18,132.5390625,-9.094642487582783,10.0
19,132.32666015625,-9.74425980812441,10.0
20,132.857666015625,-11.260033556054873,9.375
21,132.985107421875,-12.905730768093662,9.375
22,133.070068359375,-11.909650876596501,9.375
23,132.32666015625,-9.311181594429993,10.0
24,133.070068359375,-11.693111769749292,9.375
25,132.32666015625,-13.425424624526965,10.0
26,133.02455357142858,-11.260033556054873,10.0
27,133.3037109375,-10.307261485927153,10.0
28,133.12165178571428,-10.48049277140492,10.0
29,133.20661272321428,-12.342729090290918,10.0
30,133.06501116071428,-11.981830578878904,10.0
31,132.985107421875,-11.346649198793758,9.375
32,132.89306640625,-12.559268197138127,9.166666666666666
33,133.04478236607144,-12.00245335095959,9.166666666666666
34,132.63346354166669,-11.981830578878906,8.571428571428571
35,132.9638671875,-11.476572662902083,10.0
36,132.9638671875,-12.775807303985339,7.5
36,132.5390625,13.208885517679757,7.5
37,132.822265625,-11.476572662902083,9.166666666666666
38,132.19921875,-10.826955342360455,9.0
39,133.388671875,-11.260033556054873,7.5
40,133.388671875,-10.610416235513245,10.0
41,133.1337890625,-12.126189983443709,8.0
42,133.1337890625,-11.909650876596501,7.0
43,179.0126953125,5.889863706244087,2.5
44,179.6923828125,8.445025167041155,5.0
45,179.6923828125,9.311181594429993,2.5
46,179.6923828125,11.043494449207664,2.5
47,179.6923828125,11.476572662902083,2.5
48,179.6923828125,12.775807303985337,2.5
49,179.267578125,0.8661564273888364,2.5
51,133.388671875,-5.19693856433302,7.5
52,133.2470703125,-3.897703923249764,8.333333333333334
54,132.5390625,-5.846555884874646,7.5
56,133.10546875,-8.878103380735572,8.333333333333334
57,133.388671875,-8.228486060193946,7.5
58,132.5390625,-8.228486060193946,7.5
59,132.9638671875,-9.094642487582783,10.0
60,133.3037109375,-9.008026844843897,7.5
61,132.5390625,-10.177338021818828,7.5
62,133.388671875,-8.661564273888363,7.5
63,133.388671875,-6.496173205416273,7.5
64,133.2470703125,-6.7848920145458855,7.5
65,133.388671875,-8.011946953346737,10.0
66,132.255859375,-9.094642487582783,6.666666666666667
67,133.388671875,-9.311181594429991,7.5
68,133.388671875,-9.960798914971619,7.5
70,132.9638671875,-9.960798914971619,7.5
71,133.388671875,-9.5277207012772,7.5
72,133.388671875,-9.74425980812441,7.5
73,132.5390625,-11.043494449207664,7.5
74,133.1337890625,-10.610416235513245,8.0
75,133.1337890625,-9.5277207012772,8.0
76,132.255859375,-10.826955342360456,8.333333333333334
77,132.1142578125,-10.517613761150155,10.0
78,133.388671875,-9.094642487582782,7.5
79,132.9638671875,-10.393877128666036,7.5
80,133.388671875,-11.043494449207664,7.5
81,133.1337890625,-9.311181594429991,7.0
82,133.388671875,-10.393877128666038,7.5
83,133.070068359375,-10.881090119072256,7.5
84,133.17626953125,-10.393877128666036,10.0
85,133.388671875,-10.610416235513245,10.0
86,133.31787109375,-11.693111769749292,8.333333333333334
87,133.2470703125,-11.40439296061968,10.0
88,132.5390625,-11.909650876596501,7.5
89,132.5390625,-12.775807303985339,10.0
90,133.0205078125,-11.779727412488175,9.166666666666666
91,132.5390625,-12.12618998344371,10.0
92,133.3037109375,-13.51204026726585,7.5
93,133.1337890625,-11.866343055227059,10.0
94,133.388671875,-11.260033556054873,7.5
95,133.388671875,-12.775807303985339,7.5
96,133.388671875,-13.425424624526967,7.5
97,132.9638671875,-10.393877128666038,7.5
98,133.33203125,-11.346649198793758,8.333333333333334
99,132.255859375,-13.425424624526965,6.666666666666667
99,132.255859375,-11.260033556054873,6.666666666666667
100,132.87283761160714,-12.373663248411948,10.0
101,133.10546875,-12.198369685726112,7.5
102,133.388671875,-11.043494449207664,10.0
103,132.5390625,-13.425424624526965,7.5
104,133.388671875,-13.641963731374172,7.5
104,132.9638671875,13.425424624526965,7.5
105,133.388671875,-12.55926819713813,7.5
106,132.5390625,-12.775807303985339,7.5
106,132.5390625,12.992346410832548,7.5
