block,range_m,radial_velocity_mps,angle_deg
0,1.4564732142857142,0.4949465299364779,54.0
1,2.1240234375,0.16240433013540678,50.0
4,2.548828125,0.0,48.0
4,1.69921875,2.1653910684720907,48.0
5,2.548828125,2.3819301753193,1.0
6,0.0,-3.0315474958609276,0.0
6,2.780539772727273,2.795323015663972,0.0
7,3.3984375,3.0315474958609276,5.0
8,0.0,-3.0315474958609276,-90.0
8,3.3984375,3.118163138599811,7.0
9,0.0,-3.0315474958609276,0.0
9,3.5529119318181817,3.1890304826588975,7.0
10,4.248046875,3.2913944240775783,9.0
11,4.7578125,3.6811648164025543,9.0
12,4.943181818181818,3.740220936451793,9.0
13,5.09765625,-3.4646257095553454,12.0
13,5.09765625,3.81108828051088,12.0
14,5.947265625,4.070935208727531,13.0
15,6.45703125,4.114243030096973,13.0
16,6.608072916666667,4.04206332781457,11.0
17,7.646484375,4.3307821369441815,13.0
18,8.15625,4.54732124379139,14.0
19,8.49609375,4.8875969831227195,14.0
20,8.70849609375,4.817995127350402,16.0
21,10.006510416666666,5.341297968897824,16.0
22,10.349786931818182,5.354421551130989,16.0
23,10.680803571428571,5.630016778027437,17.0
24,1.69921875,-0.4330782136944182,44.0
24,11.044921875,5.846555884874646,20.0
25,11.89453125,5.846555884874646,18.0
27,13.59375,5.846555884874646,18.0
28,13.59375,5.630016778027437,18.0
30,15.29296875,4.9803994574858095,19.0
32,16.3125,4.417397779683066,18.0
34,16.9921875,3.4646257095553454,16.0
35,17.841796875,3.0315474958609276,14.0
36,17.841796875,2.3819301753193,13.0
37,17.841796875,1.9488519616248816,11.0
38,17.841796875,1.5157737479304638,11.0
39,18.3515625,1.1260033556054871,9.0
40,18.3515625,1.0393877128666038,7.0
41,18.47900390625,0.48721299040622046,6.0
44,18.47900390625,-0.054134776711802265,3.0
45,18.125,-0.5774376182592242,1.0
47,17.841796875,-0.8661564273888364,-3.0
48,2.548828125,0.2165391068472091,45.0
50,17.55859375,-0.2405990076080101,-8.0
53,17.841796875,1.5157737479304638,-15.0
59,1.69921875,-0.8661564273888364,55.0
61,21.5234375,3.6089851141201517,-23.0
68,22.65625,1.8766722593424785,-19.0
69,22.939453125,1.5157737479304638,-17.0
75,0.6796875,0.08661564273888364,-90.0
76,22.939453125,-1.5157737479304636,-10.0
77,22.08984375,-1.2992346410832547,-10.0
79,22.939453125,-1.0826955342360456,-7.0
80,22.08984375,-0.8661564273888364,-6.0
81,22.08984375,-0.8661564273888365,-4.0
82,22.08984375,-0.7424197949047169,-3.0
83,22.08984375,-0.5568148461785377,-3.0
84,21.87744140625,-0.054134776711802265,-2.0
85,6.796875,-10.393877128666038,44.0
88,22.08984375,0.4330782136944182,3.0
92,22.939453125,2.3819301753193,6.0
93,22.939453125,3.0315474958609276,8.0
99,25.48828125,3.4646257095553454,14.0
100,25.48828125,3.6811648164025548,13.0
101,26.0546875,3.753344518684957,12.0
104,27.1875,3.4646257095553454,18.0
108,28.88671875,3.6811648164025543,18.0
108,3.3984375,11.260033556054873,44.0
109,29.736328125,3.8977039232497637,20.0
114,31.435546875,3.8977039232497637,10.0
118,33.134765625,2.5984692821665094,6.0
120,32.28515625,1.7323128547776727,8.0
127,33.984375,-1.2992346410832547,26.0
148,24.638671875,-3.4646257095553454,-14.0
149,24.638671875,-3.0315474958609276,-16.0
150,24.638671875,-3.0315474958609276,-16.0
151,24.921875,-3.1759069004257334,-18.0
152,3.3984375,-11.476572662902083,44.0
152,23.7890625,-3.139817049284532,-19.0
153,23.22265625,-3.1759069004257334,-20.0
154,22.939453125,-3.0315474958609276,-21.0
171,16.142578125,-3.8977039232497637,-19.0
173,15.29296875,-3.8977039232497637,-17.0
174,14.443359375,-3.6811648164025548,-19.0
175,2.83203125,-0.14435940456480606,52.0
