block,range_m,angle_deg
328,16.9921875,11.0
332,17.841796875,10.0
333,17.841796875,10.0
334,17.671875,33.0
335,17.841796875,5.0
336,16.9921875,7.0
337,17.841796875,34.0
338,17.841796875,8.0
339,17.841796875,8.0
340,17.671875,9.0
341,17.841796875,5.0
344,17.841796875,5.0
345,17.841796875,4.0
346,17.841796875,4.0
347,17.671875,3.0
348,17.841796875,3.0
349,17.841796875,3.0
350,17.841796875,2.0
351,17.841796875,2.0
352,17.841796875,2.0
353,17.841796875,1.0
354,17.841796875,1.0
355,17.841796875,1.0
356,17.841796875,0.0
357,17.841796875,0.0
358,17.841796875,-1.0
359,17.841796875,-1.0
360,17.841796875,-2.0
361,18.3515625,-2.0
362,17.841796875,-3.0
363,17.963169642857142,-3.0
364,18.69140625,-4.0
365,18.205915178571427,-4.0
366,17.841796875,-5.0
367,17.841796875,-6.0
368,18.01171875,-6.0
369,18.205915178571427,30.0
370,18.01171875,-7.0
371,18.3515625,-8.0
372,17.841796875,-9.0
373,18.125,-9.0
374,18.01171875,30.0
375,18.47900390625,30.0
376,18.47900390625,-12.0
377,18.69140625,-12.0
378,18.47900390625,28.0
379,18.69140625,-13.0
380,17.841796875,29.0
381,18.205915178571427,29.0
382,18.69140625,28.0
383,18.47900390625,27.0
384,17.841796875,27.0
385,18.47900390625,28.0
386,18.69140625,29.0
387,18.69140625,29.0
388,18.3515625,30.0
389,18.69140625,30.0
390,19.03125,30.0
391,18.69140625,29.0
392,18.90380859375,28.0
393,18.69140625,26.0
394,18.69140625,-21.0
395,18.69140625,-21.0
396,18.69140625,28.0
397,18.69140625,-23.0
398,18.90380859375,-23.0
399,19.03125,-24.0
400,19.37109375,27.0
401,19.37109375,27.0
402,19.2578125,-25.0
403,19.541015625,-25.0
404,19.176897321428573,-26.0
405,19.541015625,-26.0
407,19.541015625,-27.0
408,18.69140625,-27.0
409,19.541015625,-27.0
411,19.541015625,30.0
412,19.541015625,-28.0
421,25.48828125,-30.0
425,21.240234375,-31.0
429,21.240234375,-33.0
432,22.08984375,-34.0
433,21.240234375,-34.0
434,21.5234375,-35.0
435,20.95703125,28.0
436,21.240234375,-36.0
437,21.240234375,-36.0
440,3.3984375,6.0
441,4.248046875,15.0
441,21.5234375,-37.0
442,21.41015625,24.0
443,21.240234375,26.0
448,22.08984375,24.0
449,21.240234375,23.0
454,21.240234375,-37.0
455,21.6650390625,28.0
456,21.240234375,28.0
458,21.240234375,-35.0
461,21.240234375,-34.0
462,24.638671875,-33.0
463,20.390625,-33.0
465,24.638671875,-32.0
466,21.5234375,-32.0
467,24.35546875,25.0
472,24.274553571428573,-30.0
474,20.390625,30.0
475,23.7890625,30.0
476,24.638671875,31.0
477,20.390625,31.0
478,23.7890625,30.0
479,22.08984375,30.0
481,19.7109375,-27.0
482,19.7109375,29.0
483,19.541015625,30.0
484,19.541015625,29.0
485,19.541015625,-26.0
486,19.541015625,30.0
487,19.541015625,29.0
488,23.7890625,30.0
490,19.82421875,30.0
491,19.541015625,-24.0
492,19.176897321428573,30.0
493,19.176897321428573,31.0
494,19.176897321428573,30.0
495,19.541015625,29.0
496,18.69140625,30.0
497,19.541015625,31.0
498,19.82421875,31.0
499,18.69140625,31.0
500,19.541015625,30.0
501,18.69140625,-19.0
502,18.408203125,-18.0
503,18.448660714285715,-17.0
504,18.69140625,31.0
505,18.448660714285715,31.0
506,18.205915178571427,31.0
507,18.69140625,31.0
508,18.69140625,-13.0
509,18.47900390625,-13.0
510,18.47900390625,-12.0
511,18.502604166666668,-12.0
512,18.47900390625,30.0
513,18.47900390625,-11.0
514,17.841796875,-10.0
515,18.47900390625,-9.0
516,18.2666015625,-9.0
517,17.841796875,-7.0
518,17.841796875,-6.0
519,17.841796875,-6.0
520,17.841796875,-5.0
521,18.205915178571427,-5.0
522,17.841796875,-5.0
523,17.841796875,-4.0
524,17.841796875,-3.0
525,18.69140625,-2.0
526,17.841796875,-1.0
527,17.841796875,-1.0
528,17.841796875,0.0
529,17.841796875,0.0
530,17.841796875,1.0
531,17.841796875,1.0
532,17.841796875,2.0
533,17.841796875,3.0
534,17.841796875,3.0
535,17.841796875,3.0
536,17.841796875,3.0
537,17.841796875,4.0
538,17.841796875,4.0
539,17.841796875,4.0
540,18.01171875,5.0
541,17.841796875,6.0
542,18.205915178571427,6.0
543,17.841796875,8.0
544,17.841796875,5.0
545,17.841796875,6.0
546,18.69140625,6.0
547,18.408203125,8.0
548,17.841796875,6.0
549,18.408203125,7.0
550,18.47900390625,8.0
551,18.125,7.0
552,18.47900390625,8.0
553,18.408203125,9.0
554,18.205915178571427,10.0
555,18.2666015625,11.0
556,18.69140625,11.0
557,18.69140625,11.0
558,18.69140625,11.0
559,18.205915178571427,13.0
560,18.3515625,12.0
561,18.69140625,13.0
562,18.69140625,13.0
563,17.841796875,14.0
564,17.841796875,14.0
565,18.69140625,17.0
567,18.974609375,16.0
568,18.69140625,17.0
569,18.448660714285715,19.0
570,18.69140625,18.0
571,18.69140625,19.0
572,18.47900390625,20.0
573,19.541015625,20.0
574,18.69140625,20.0
575,19.541015625,21.0
576,18.69140625,22.0
577,18.69140625,22.0
578,18.69140625,24.0
579,19.03125,23.0
580,19.541015625,23.0
581,18.90380859375,24.0
582,18.69140625,23.0
583,19.541015625,22.0
584,19.37109375,22.0
585,19.541015625,21.0
586,19.37109375,21.0
587,19.541015625,22.0
588,19.541015625,20.0
589,19.176897321428573,24.0
590,19.37109375,23.0
591,19.541015625,23.0
592,19.176897321428573,21.0
593,19.176897321428573,19.0
594,19.541015625,21.0
595,19.541015625,18.0
596,19.03125,17.0
597,19.37109375,17.0
598,19.37109375,18.0
599,19.541015625,16.0
600,18.69140625,14.0
601,19.541015625,16.0
602,19.541015625,14.0
602,1.69921875,-39.0
603,18.69140625,15.0
604,18.90380859375,16.0
605,18.69140625,16.0
606,19.541015625,15.0
607,18.90380859375,40.0
608,18.69140625,40.0
609,18.69140625,42.0
610,18.69140625,14.0
611,18.69140625,41.0
612,18.69140625,14.0
613,18.69140625,11.0
614,18.69140625,12.0
615,18.69140625,11.0
616,18.69140625,12.0
617,18.205915178571427,12.0
618,18.408203125,10.0
619,18.69140625,11.0
620,18.01171875,12.0
621,18.01171875,12.0
622,18.69140625,11.0
624,18.69140625,9.0
625,22.08984375,10.0
626,18.125,9.0
627,18.69140625,9.0
628,18.01171875,8.0
629,17.841796875,8.0
630,17.841796875,8.0
631,18.69140625,8.0
632,18.408203125,8.0
633,18.69140625,43.0
634,17.841796875,6.0
635,18.69140625,41.0
636,18.47900390625,42.0
637,19.03125,42.0
638,18.408203125,8.0
639,18.47900390625,6.0
640,17.841796875,8.0
641,18.205915178571427,6.0
642,18.47900390625,6.0
643,17.841796875,6.0
644,18.205915178571427,6.0
645,17.841796875,6.0
646,17.841796875,6.0
647,17.841796875,7.0
648,17.841796875,6.0
649,16.9921875,5.0
650,16.9921875,5.0
651,16.9921875,6.0
652,16.9921875,5.0
653,16.9921875,3.0
654,16.9921875,2.0
655,16.42578125,47.0
656,16.77978515625,3.0
657,16.142578125,50.0
658,16.142578125,48.0
659,16.142578125,48.0
660,15.97265625,-1.0
661,15.29296875,0.0
662,16.142578125,1.0
663,15.576171875,3.0
664,15.29296875,2.0
665,15.08056640625,3.0
666,15.08056640625,0.0
667,15.29296875,1.0
668,15.08056640625,0.0
669,14.443359375,-1.0
670,14.807477678571429,3.0
671,14.443359375,3.0
672,14.2734375,3.0
673,14.443359375,4.0
674,13.93359375,2.0
675,13.59375,3.0
676,13.38134765625,2.0
677,13.59375,1.0
678,13.1689453125,2.0
679,13.59375,2.0
680,13.38134765625,1.0
681,12.744140625,1.0
682,13.59375,-1.0
683,12.380022321428571,2.0
684,11.89453125,1.0
685,12.234375,-2.0
686,12.234375,-3.0
687,11.89453125,1.0
688,12.10693359375,2.0
689,11.89453125,1.0
690,11.68212890625,-1.0
691,11.21484375,0.0
692,11.68212890625,1.0
693,11.89453125,2.0
694,11.044921875,2.0
695,11.21484375,1.0
696,10.680803571428571,0.0
697,10.680803571428571,1.0
698,10.1953125,-1.0
699,10.40771484375,0.0
700,10.006510416666666,1.0
701,10.1953125,2.0
702,10.1953125,1.0
703,9.345703125,1.0
704,9.709821428571429,1.0
705,9.709821428571429,1.0
706,9.345703125,1.0
707,9.345703125,1.0
708,9.345703125,1.0
709,9.345703125,1.0
710,9.17578125,1.0
711,7.646484375,1.0
712,8.49609375,-2.0
713,8.15625,-3.0
714,8.212890625,-23.0
715,6.796875,-24.0
715,8.49609375,-24.0
716,8.212890625,-24.0
717,8.212890625,-26.0
718,7.36328125,-27.0
719,7.646484375,1.0
720,7.646484375,0.0
721,7.13671875,-32.0
722,7.282366071428571,-35.0
723,6.796875,-37.0
725,6.796875,-1.0
726,6.796875,-1.0
727,6.796875,-1.0
728,6.513671875,-1.0
729,5.947265625,-2.0
730,5.947265625,-4.0
731,6.1171875,-4.0
732,5.4375,-3.0
733,5.583147321428571,-4.0
734,5.09765625,-4.0
735,5.09765625,-5.0
736,5.09765625,-5.0
737,5.09765625,-4.0
738,4.612165178571429,-5.0
739,4.612165178571429,-6.0
740,4.248046875,-7.0
741,4.248046875,-8.0
742,4.248046875,-8.0
743,4.248046875,-9.0
744,3.8839285714285716,-10.0
745,3.73828125,-11.0
746,3.3984375,-12.0
747,3.3984375,-14.0
748,3.3984375,-16.0
749,3.3984375,-15.0
750,3.115234375,-14.0
751,2.71875,-27.0
753,2.71875,-30.0
754,2.71875,-30.0
755,2.548828125,-31.0
756,2.548828125,-33.0
757,1.69921875,-34.0
758,2.548828125,-35.0
759,2.0390625,-36.0
760,1.69921875,-39.0
761,2.265625,-41.0
762,1.69921875,-43.0
763,1.69921875,-45.0
764,2.0390625,-50.0
765,1.69921875,-52.0
766,1.69921875,-57.0
767,1.359375,-58.0
768,2.265625,-56.0
769,1.48681640625,-62.0
840,1.1328125,-52.0
841,2.548828125,-47.0
845,2.548828125,-45.0
846,1.69921875,-51.0
847,1.69921875,-54.0
848,0.849609375,-48.0
850,2.548828125,43.0
851,2.548828125,-44.0
852,1.69921875,-43.0
855,2.548828125,-43.0
