block,x_position_m,y_position_m,range_m,radial_velocity_mps,angle_deg
179,1.3016770810810758,1.0922367586470494,1.69921875,0.8654400035448423,50.0
180,0.0,0.0,0.0,-0.8654400035448423,0.0
180,-1.1803765279283742,1.2223156763566925,1.69921875,0.9736200039879476,-44.0
181,-1.069353008229216,1.3205409891944622,1.69921875,0.8173600033479066,-39.0
183,-0.7129020054861439,0.8803606594629748,1.1328125,0.432720001772422,-39.0
183,-1.069353008229216,1.3205409891944622,1.69921875,0.8654400035448422,-39.0
184,0.0,0.849609375,0.849609375,-6.923520028358739,0.0
184,-0.9987757216688509,1.3746968459105553,1.69921875,1.019982861320707,-36.0
185,0.0,0.849609375,0.849609375,4.110840016838001,0.0
185,-0.9987757216688509,1.3746968459105553,1.69921875,1.3522500055388162,-36.0
187,0.0,0.6796875,0.6796875,-1.7308800070896848,0.0
187,-0.974631835205879,1.3919185127566853,1.69921875,1.7308800070896848,-35.0
191,0.0,0.0,0.0,-1.2981600053172635,0.0
192,0.0,0.0,0.0,-1.2981600053172635,0.0
192,-0.8496093749999999,1.4715666040868391,1.69921875,1.2981600053172635,-30.0
195,0.0,0.0,0.0,-1.6227000066465793,0.0
197,-0.0,0.0,0.0,-1.5145200062034743,-28.0
197,0.0,0.0,0.0,-1.5145200062034743,28.0
198,0.0,0.0,0.0,-1.5145200062034743,0.0
198,0.0,0.0,0.0,-1.5145200062034743,0.0
199,0.0,0.0,0.0,-1.5145200062034743,0.0
200,-1.621594224319763,2.986605031312148,3.3984375,-13.630680055831265,-28.5
200,-1.621594224319763,2.986605031312148,3.3984375,1.2981600053172635,-28.5
205,-0.9115857092385017,3.0774617792318955,3.2096354166666665,1.4424000059080706,-16.5
206,-0.9652083980172371,3.258488942716125,3.3984375,1.5577920063807162,-16.5
207,0.0,0.0,0.0,-1.5145200062034743,0.0
208,-0.9345541203775102,3.487803459671709,3.61083984375,1.4874750060926978,-15.0
209,-0.908192918703451,3.2748378683261796,3.3984375,1.189980004874158,-15.5
210,2.2478006532886705,2.825872714806446,3.61083984375,1.2981600053172635,38.5
210,-1.7505698934187806,3.1581116866678864,3.61083984375,1.2981600053172635,-29.0
210,-0.8735412197068081,3.503582468657712,3.61083984375,1.2981600053172635,-14.0
211,-1.8326397432101595,3.111204903059123,3.61083984375,1.0818000044310527,-30.5
211,-0.8735412197068081,3.503582468657712,3.61083984375,1.0818000044310527,-14.0
211,2.36892408173086,2.725135422728222,3.61083984375,1.0818000044310527,41.0
212,-0.9345541203775102,3.487803459671709,3.61083984375,1.1088450045418292,-15.0
213,-0.9396073623737096,3.768559294018379,3.8839285714285716,1.1127085759862259,-14.0
214,-0.9724580514614467,3.7602162818256866,3.8839285714285716,1.2981600053172635,-14.5
215,-0.8918957818711835,3.863225061550835,3.96484375,1.394320005711135,-13.0
216,-0.8736938271391186,3.7843837337640833,3.8839285714285716,1.4527028630931282,-13.0
217,-0.955602623433411,4.1391697088044666,4.248046875,1.4604300059819213,-13.0
220,-0.8261854703059419,4.685530637378396,4.7578125,1.1899800048741582,-10.0
222,-0.7094566279409585,5.048046209795896,5.09765625,-0.7031700028801846,-8.0
