time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),wind_speed(mph),wind_direction(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
0,2026-05-28 08:09:57,51.9888224265109,4.38996977537681,0,Available with any HD 360 subscription,Available with any HD 360 subscription,-3.81804638202,0.328084,0,0,0,25,5,0,0,0,0,0,0,0,0,156.7, 3.4, -1.8,Available with Enterprise subscription,,0,0,364,364,364,1684,-100,-100,-100,100,156.6,0,0,58,3.768,3.765,3.764,0,0,0,0,98.06,-3.81804638202,0,41,Motors_Started,"Takeoff permitted. Flying over vegetation."
100,2026-05-28 08:09:57,51.9888223276826,4.38996966685411,0,,,-3.81804638202,0.328084,0,0.043527560448,0.043527560448,25,5,0,0,0,0,0.043527560448,0,0,0,156.7, 3.4, -1.8,,,0,0,364,364,364,1684,-100,-100,-100,100,156.6,0,0,58,3.768,3.765,3.764,0,0,0,0,98.06,-3.81804638202,0,41,Motors_Started,
200,2026-05-28 08:09:57,51.9888222900893,4.38996962827406,0,,,-3.81804638202,0.328084,0,0.05974737724,0.059752954668,25,5,0,0,0,0,0.05974737724,0,0,0,156.7, 3.4, -1.8,,,0,0,364,364,364,1684,-100,-100,-100,100,156.6,0,0,58,3.768,3.765,3.764,0,0,0,0,98.06,-3.81804638202,0,41,Motors_Started,
300,2026-05-28 08:09:57,51.9888223670827,4.38996953632826,0,,,-3.81804638202,0.328084,0,0.057920933612,0.094622378356,26,5,0,0,0,0,0.05974737724,0,0,0,156.7, 3.4, -1.8,,,0,0,364,364,364,1684,-100,-100,-100,100,156.6,0,0,58,3.768,3.765,3.764,0,0,0,0,98.06,-3.81804638202,0,41,Motors_Started,
400,2026-05-28 08:09:57,51.988822338663,4.38996949112611,0,,,-3.81804638202,0.328084,0,0.0714566952,0.109136486432,26,5,0,0,0,0,0.0714566952,0,0,0,156.7, 3.4, -1.8,,,0,0,364,364,364,1684,-100,-100,-100,100,156.6,0,0,58,3.768,3.765,3.764,0,0,0,0,98.06,-3.81804638202,0,41,Motors_Started,
500,2026-05-28 08:09:57,51.9888222391136,4.38996941427843,0,,,-3.81804638202,0.328084,0,0.10609908476,0.1493520389,26,5,0,0,0,0,0.10609908476,0,0,0,156.7, 3.4, -1.8,,,0,0,364,364,364,1684,-100,-100,-100,100,156.6,0,0,58,3.768,3.765,3.764,0,0,0,0,98.06,-3.81804638202,0,41,Motors_Started,
600,2026-05-28 08:09:57,51.9888222038798,4.38996936418447,0,,,-3.81804638202,0.328084,0,0.12301673622,0.166437997452,26,5,0,0,0,0,0.12301673622,0,0,0,156.7, 3.4, -1.8,,,0,0,364,364,364,1684,-100,-100,-100,100,156.6,0,0,58,3.768,3.765,3.764,0,0,0,0,98.06,-3.81804638202,0,41,Motors_Started,
700,2026-05-28 08:09:57,51.9888221176567,4.38996946477419,0,,,-3.81804638202,0.328084,0,0.132544623664,0.205173234912,26,5,0,0,0,0,0.132544623664,0,0,0,156.7, 3.4, -1.8,,,0,0,364,364,364,1684,-100,-100,-100,100,156.6,0,0,58,3.768,3.765,3.764,0,0,0,0,98.06,-3.81804638202,0,41,Motors_Started,
800,2026-05-28 08:09:57,51.9888220763932,4.38996942588254,0,,,-3.81804638202,0.328084,0,0.149945542856,0.2225803877,26,5,0,0,0,0,0.149945542856,0,0,0,156.7, 3.4, -1.8,,,0,0,364,364,364,1684,-100,-100,-100,100,156.6,0,0,58,3.768,3.765,3.764,0,0,0,0,98.06,-3.81804638202,0,41,Motors_Started,"Setting new Return-To-Home altitude to 97m (318 ft). Data Recorder File Index is 35. Setting new Maximum Flight Altitude to 285m (935 ft)"
900,2026-05-28 08:09:57,51.9888221557827,4.38996950353391,0,,,-3.81804638202,0.328084,0,0.1161335339,0.256394037076,26,5,0,0,0,0,0.149945542856,0,0,0,156.7, 3.4, -1.8,,,0,0,364,364,364,1684,-100,-100,-100,100,156.6,0,0,58,3.768,3.765,3.764,0,0,0,0,98.06,-3.81804638202,0,41,Motors_Started,
1000,2026-05-28 08:09:58,51.9888221242682,4.38996947276693,0,,,-3.81804638202,0.328084,0,0.129548560576,0.269810376088,26,5,0,0,0,0,0.149945542856,0,0,0,156.6, 3.5, -1.8,,,0,0,364,364,364,1684,-100,-100,-100,100,156.6,0,0,58,3.768,3.765,3.764,0,0,0,0,98.06,-3.81804638202,0,41,Motors_Started,
1100,2026-05-28 08:09:58,51.9888220301539,4.38996937644127,0,,,-3.81804638202,0.328084,0,0.1701361603,0.310399288148,26,5,11.308,0,0,0,0.1701361603,0,0,0,156.6, 3.5, -1.9,,,0,0,364,364,364,1684,-100,-100,-100,100,156.6,0,0,58,3.768,3.765,3.764,0,0,0,2.663,98.06,-3.81804638202,0,41,Motors_Started,
1200,2026-05-28 08:09:58,51.9888219907185,4.38996933702622,0,,,-3.81804638202,0.328084,0,0.18703084588,0.327293973728,26,5,11.308,0,0,0,0.18703084588,0,0,0,156.6, 3.5, -1.9,,,0,0,1024,1024,1024,1024,0,0,0,0,156.6,0,0,58,3.768,3.765,3.764,0,0,0,2.663,98.06,-3.81804638202,0,41,Motors_Started,
1300,2026-05-28 08:09:58,51.9888220675041,4.38996940992042,0,,,-3.81804638202,0.328084,0,0.154592524632,0.359744106,26,5,11.308,0,0,0,0.18703084588,0,0,0,156.6, 3.5, -1.9,,,0,0,1024,1024,1024,1024,0,0,0,0,156.6,0,0,58,3.768,3.765,3.764,0,0,0,2.663,98.06,-3.81804638202,0,41,Motors_Started,
1400,2026-05-28 08:09:58,51.988822037544,4.38996938018345,0,,,-3.81804638202,0.328084,0,0.167402892496,0.3725557862,26,5,11.308,0,0,0,0.18703084588,0,0,0,156.6, 3.4, -1.8,,,0,0,1024,1024,1024,1024,0,0,0,0,156.6,0,0,58,3.768,3.765,3.764,0,0,0,2.663,98.06,-3.81804638202,0,41,Motors_Started,
1500,2026-05-28 08:09:58,51.9888220986867,4.38996943962974,0,,,-3.81804638202,0.328084,0,0.141408141008,0.3985564432,26,5,11.308,0,0,0,0.18703084588,0,0,0,156.7, 3.4, -1.8,,,0,0,1024,1024,1024,1024,0,0,0,0,156.6,0,0,58,3.768,3.765,3.764,0,0,0,2.663,98.06,-3.81804638202,0,10,Assisted_Takeoff,
1600,2026-05-28 08:09:58,51.9888220763111,4.38996941759829,0,,,-3.81804638202,0.328084,0,0.150953744988,0.4081036876,26,5,11.308,0,0,0,0.18703084588,0,0,0,156.7, 3.4, -1.8,,,0,0,1024,1024,1024,1024,0,0,0,0,156.6,0,0,58,3.768,3.765,3.764,0,0,0,2.663,98.06,-3.81804638202,0,10,Assisted_Takeoff,
1700,2026-05-28 08:09:58,51.9888219646631,4.38996946757208,0,,,-3.81804638202,0.328084,0,0.182144690868,0.45035762596,26,5,11.308,0,0,0,0.18703084588,0,0,0,156.7, 3.4, -1.8,,,0,0,1024,1024,1024,1024,0,0,0,0,156.6,0,0,58,3.768,3.765,3.764,0,0,0,2.663,98.06,-3.81804638202,0,10,Assisted_Takeoff,
1800,2026-05-28 08:09:58,51.9888219349583,4.38996945162273,0,,,-3.81804638202,0.328084,0,0.193533142676,0.46177166832,26,5,11.308,0,0,0,0.193533142676,0,0,0,156.7, 3.4, -1.8,,,0,0,1024,1024,1024,1024,0,0,0,0,156.6,0,0,58,3.768,3.765,3.764,0,0,0,2.663,98.06,-3.81804638202,0,10,Assisted_Takeoff,
1900,2026-05-28 08:09:58,51.9888219989731,4.38996932815771,0,,,-3.81804638202,0.328084,0,0.185548890452,0.49803479284,26,5,11.308,0,0,0,0.193533142676,0,0,0,156.7, 3.4, -1.8,,,0,0,1024,1024,1024,1024,0,0,0,0,156.6,0,0,58,3.768,3.765,3.764,0,0,0,2.663,98.06,-3.81804638202,0,10,Assisted_Takeoff,
2000,2026-05-28 08:09:59,51.9888219783668,4.3899693042951,0,,,-3.81804638202,0.328084,0,0.194772972112,0.50727035744,26,5,11.308,0,0,0,0.194772972112,0,0,0,156.7, 3.4, -1.8,,,0,0,1024,1024,1024,1024,0,0,0,0,156.6,0,0,58,3.768,3.765,3.764,0,0,0,2.663,98.06,-3.81804638202,0,10,Assisted_Takeoff,
2100,2026-05-28 08:09:59,51.9888220339131,4.38996936229844,0,,,-3.81804638202,0.328084,0,0.170678483152,0.5313648464,26,5,11.321,0,0,0,0.194772972112,0,0,0,156.7, 3.4, -1.8,,,0,0,1024,1024,1024,1024,0,0,0,0,156.6,0,0,58,3.782,3.779,3.779,0,0,0,3.511,98.06,-3.81804638202,0,10,Assisted_Takeoff,
2200,2026-05-28 08:09:59,51.9888220203273,4.38996934668529,0,,,-3.81804638202,0.328084,0,0.176746068648,0.53743768124,26,5,11.321,0,0,0,0.194772972112,0,0,0,156.7, 3.4, -1.8,,,0,0,1024,1024,1024,1024,0,0,0,0,156.6,0,0,58,3.782,3.779,3.779,0,0,0,3.511,98.06,-3.81804638202,0,10,Assisted_Takeoff,
